month,area,SALES,VOLUME,dxmas,population,SEAS1,SEAS2,CATPRICE,INCOME
1,1,108363.55,207.72,0,3215,0.46472,0.88546,568.557,1950
2,1,101303.95,199.205,0,3205,0.82298,0.56806,550.872,1975
3,1,104581.54,198.165,0,3209,0.99271,0.12054,572.614,2025
4,1,110947.51,217.635,0,3311,0.93502,-0.3546,548.636,2000
5,1,112260.05,219.575,0,3364,0.66312,-0.74851,552.895,1900
6,1,154801.58,302.75,0,3345,0.23932,-0.97094,549.618,1950
7,1,146186.65,276.865,0,3326,-0.23932,-0.97094,565.6,2050
8,1,158363.37,300.9,1,3236,-0.66312,-0.74851,566.252,1975
9,1,158241.31,287.4,0,3680,-0.93502,-0.3546,589.467,1900
10,1,176184.06,340.335,0,3692,-0.99271,0.12054,558.279,1975
11,1,151603.36,290.78,0,3750,-0.82298,0.56806,559.51,2050
12,1,159271.49,303.04,0,3755,-0.46472,0.88546,566.294,2125
13,1,170938.92,309.47,0,3775,0,1,590.514,2150
14,1,179147.37,332.924,0,3800,0.46472,0.88546,579.691,2075
15,1,160449.66,297.983,0,3854,0.82298,0.56806,577.75,2100
16,1,135347.81,257.89,0,3964,0.99271,0.12054,562.571,2050
17,1,160509.33,301.015,0,4036,0.93502,-0.3546,576.799,2000
18,1,177166.36,313.72,0,4035,0.66312,-0.74851,605.122,1950
19,1,185013.77,332.09,0,4042,0.23932,-0.97094,590.731,2100
20,1,179509.47,311.32,0,4043,-0.23932,-0.97094,613.283,2150
21,1,261919.92,443.29,1,4021,-0.66312,-0.74851,619.128,2125
22,1,112224.61,195.885,0,3989,-0.93502,-0.3546,612.479,2175
23,1,209180.25,359.17,0,4010,-0.99271,0.12054,613.857,2350
24,1,160966.93,282.725,0,3996,-0.82298,0.56806,601.756,2300
25,1,164226.49,279.995,0,3956,-0.46472,0.88546,612.243,2375
26,1,167980.69,277.716,0,3949,0,1,629.893,2400
1,2,56193.03,115.115,0,2605,0.46472,0.88546,523.89,1900
2,2,57995.81,122.105,0,2582,0.82298,0.56806,508.636,1950
3,2,67360.1,132.405,0,2585,0.99271,0.12054,548.544,2050
4,2,57113.51,118.635,0,2576,0.93502,-0.3546,520.332,1975
5,2,62612.25,133.475,0,2670,0.66312,-0.74851,506.973,1900
6,2,74161.68,155.61,0,2669,0.23932,-0.97094,506.992,1975
7,2,66284.66,136.865,0,2645,-0.23932,-0.97094,516.843,2050
8,2,96889.11,189.92,1,2558,-0.66312,-0.74851,548.88,2125
9,2,75279.05,148.345,0,2964,-0.93502,-0.3546,548.596,2150
10,2,91372.88,192.28,0,2995,-0.99271,0.12054,519.214,2075
11,2,82890.21,167.925,0,2999,-0.82298,0.56806,535.314,2100
12,2,76672,156.12,0,2995,-0.46472,0.88546,523.265,2050
13,2,91453.2,185.405,0,3049,0,1,522.17,2000
14,2,95333.41,197.62,0,3053,0.46472,0.88546,514.771,1950
15,2,95017.65,195.53,0,3096,0.82298,0.56806,516.839,2100
16,2,77393.97,158.66,0,3050,0.99271,0.12054,518.908,2150
17,2,69364.67,146.485,0,3010,0.93502,-0.3546,508.417,2125
18,2,82533.42,165.33,0,3056,0.66312,-0.74851,528.817,2175
