year,month,sales,consadv,retadv
1,1,382567.5,67711.5,411958.8
1,2,283774.5,13532.4,228956.4
1,3,330557.4,120996,233956.8
1,4,386488.8,107766,240631.2
1,5,313086.6,122031,142653.6
1,6,391976.1,170672.4,387010.8
1,7,269462.7,8377.2,34664.4
1,8,266854.5,36989.1,203054.4
1,9,384030.9,8451.9,938073.6
1,10,296749.8,847.8,876.6
1,11,253604.7,1636.2,271702.8
1,12,149751.9,604.8,68533.2
2,1,566463.6,493833.6,0
2,2,237120.3,49337.1,283676.4
2,3,358488,2513.7,633261.6
2,4,338912.1,24974.1,178617.6
2,5,399963.6,19698.3,430992
2,6,348287.4,999,411454.8
2,7,372882.6,392.4,638532
2,8,228143.7,1266.3,40842
2,9,435928.5,338985,25272
2,10,275390.1,110615.4,100368
2,11,283866.3,13624.2,240480
2,12,164505.6,4978.8,318873.6
3,1,590173.2,490326.3,598240.8
3,2,243434.7,39333.6,483141.6
3,3,328552.2,5166,496404
3,4,281821.5,8652.6,135072
3,5,475389,1356.3,522720
3,6,341870.4,12258,391572
3,7,424876.5,91061.1,325029.6
3,8,229064.4,72278.1,88059.6
3,9,496218.6,302191.2,27334.8
3,10,302243.4,82539,135291.6
3,11,288367.2,8870.4,263739.6
3,12,249210.9,96454.8,146509.2
